,x1,x2,x_prot,s_real,T_u,step
570318,-0.3717256063384851,-1.1426571979382,0.0,-0.7571914021383426,90.0,799.0
570319,-0.6173776654084228,-0.764002903030508,0.0,-0.6906902842194653,74.0,799.0
570320,-0.37143906812305366,-1.0067899676368262,0.0,-0.6891145178799399,65.0,799.0
570321,-0.8490463442659656,-0.8531236468653558,0.0,-0.8510849955656608,66.0,799.0
570322,-0.4208911757524287,-1.291207844120267,0.0,-0.8560495099363479,60.0,799.0
570323,-0.2333052527440156,-1.3904750296659996,0.0,-0.8118901412050076,60.0,799.0
570324,-0.5520776911482743,-0.36617485685923834,1.0,-0.45912627400375633,56.0,799.0
570325,-0.8158672869957888,-0.7839506711387327,0.0,-0.7999089790672608,56.0,799.0
570326,-0.5424568338915822,-1.191214473719147,0.0,-0.8668356538053645,54.0,799.0
570327,-0.2560911268001366,-1.2876852216387613,0.0,-0.771888174219449,50.0,799.0
570328,-0.7570277048552287,-0.7692570045957876,0.0,-0.7631423547255082,40.0,799.0
570329,-0.4942592152693759,-0.8961526109796412,0.0,-0.6952059131245085,35.0,799.0
570330,-0.7690598857082594,-0.20508178563661084,1.0,-0.48707083567243514,33.0,799.0
570331,-0.7596090512231756,0.5069613266244561,1.0,-0.1263238622993597,29.0,799.0
570332,-0.5273191205443296,-0.5400981690613588,0.0,-0.5337086448028442,26.0,799.0
570333,-0.8593847164022788,0.14666087214913665,1.0,-0.35636192212657103,91.0,799.0
570334,-0.6008637353096684,-0.7034813911139312,0.0,-0.6521725632117998,25.0,799.0
570335,-0.270708111059245,-0.8251030376779753,0.0,-0.5479055743686102,24.0,799.0
570336,-0.8376592270395173,-0.3038500354899101,0.0,-0.5707546312647137,89.0,799.0
570337,-0.241253047845031,-0.35761761322096874,1.0,-0.29943533053299987,23.0,799.0
570338,-0.8514287975063034,-0.1398400284956487,0.0,-0.49563441300097605,40.0,799.0
570339,-0.8470143210566409,-0.5433052687164636,0.0,-0.6951597948865522,34.0,799.0
570340,-0.8439450277646894,-0.3533768756074402,0.0,-0.5986609516860648,20.0,799.0
570341,-0.343825993764422,-1.0223312545504282,0.0,-0.6830786241574252,20.0,799.0
570342,-0.05587413536235695,-1.2237726816318557,0.0,-0.6398234084971063,20.0,799.0
570343,-0.8483283797779674,0.10732447840606096,1.0,-0.3705019506859532,55.0,799.0
570344,-0.8472588060219141,-0.31649486265982446,0.0,-0.5818768343408692,36.0,799.0
570345,-0.10324766759956538,-1.160537267906281,0.0,-0.6318924677529232,18.0,799.0
