,n_active,n_active_priv,n_active_upriv,n_waiting,n_waiting_priv,n_waiting_upriv,n_found_jobs,n_found_jobs_priv,n_found_jobs_upriv,Tu_found_jobs,Tu_found_jobs_upriv,Tu_found_jobs_priv,accuracy,recall,precision,accuracy_priv,recall_priv,precision_priv,accuracy_upriv,recall_upriv,precision_upriv,s_all,s_priv,s_upriv,frac_upriv,frac_pred_highpros_hist,frac_pred_lowpros_hist,frac_true_highpros_hist,frac_true_lowpros_hist,frac_highpros_pred,frac_highpros_true,mean_Tu_current,mean_Tu_priv_current,mean_Tu_upriv_current,frac_upriv_in_highpros,fraction_real_highpros_flipped_to_lowpros,fraction_real_lowpros_flipped_to_highpros,fraction_of_lowpros_correctly_highpros_after_flipping,BGSD,BGTuD_current,BGaccuracyD,BGprecisionD,BGrecallD,inbal_waiting,coef1,coef2
199,10000,801,9199,0,0,0,414,209,205,8.96135265700483,16.546341463414635,1.5215311004784688,,,,,,,,,,-0.7318879932874156,-0.4088947276251101,-0.7600125291930039,0.9199,,,,,,,45.8537,18.476903870162296,48.2375258180237,,,,,0.3511178015678938,-29.760621947861402,,,,0.0,,
200,10000,809,9191,0,0,0,443,230,213,8.451467268623025,16.107981220657276,1.3608695652173912,,,,,,,,,,-0.7322925449981813,-0.3917927886169923,-0.7622636366000071,0.9191,,,,,,,46.2633,18.61310259579728,48.697094984223696,,,,,0.3704708479830148,-30.083992388426417,,,,0.0,,
201,10000,863,9137,0,0,0,420,237,183,8.888095238095238,16.939890710382514,2.670886075949367,,,,,,,,,,-0.7240689155715245,-0.3620419731449599,-0.7582627703722387,0.9137,,,,,,,45.4037,17.02665121668598,48.083944401882455,,,,,0.39622079722727876,-31.057293185196475,,,,0.0,,
202,10000,899,9101,0,0,0,511,297,214,7.414872798434442,15.574766355140186,1.5353535353535352,,,,,,,,,,-0.7147740683134247,-0.33095342002035005,-0.7526880077503518,0.9101,,,,,,,44.4486,16.242491657397107,47.23480936160861,,,,,0.4217345877300018,-30.992317704211505,,,,0.0,,
203,10000,929,9071,0,0,0,556,325,231,6.241007194244604,12.987012987012987,1.4461538461538461,,,,,,,,,,-0.7083011316733969,-0.307504479286846,-0.749348435175448,0.9071,,,,,,,43.6118,15.503767491926803,46.49046411641495,,,,,0.44184395588860204,-30.986696624488147,,,,0.0,,
204,10000,929,9071,0,0,0,558,352,206,4.804659498207886,10.883495145631068,1.2471590909090908,,,,,,,,,,-0.7099354220744599,-0.33752819436029896,-0.7480752428821389,0.9071,,,,,,,43.2274,15.652314316469322,46.051482747216404,,,,,0.41054704852183993,-30.399168430747082,,,,0.0,,
205,10000,906,9094,0,0,0,524,330,194,6.047709923664122,13.149484536082474,1.8727272727272728,,,,,,,,,,-0.7103520545315496,-0.36960578792578025,-0.7442992854029842,0.9094,,,,,,,42.7269,15.694260485651213,45.42005718055861,,,,,0.37469349747720393,-29.725796694907395,,,,0.0,,
206,10000,926,9074,0,0,0,494,280,214,6.01417004048583,12.38785046728972,1.1428571428571428,,,,,,,,,,-0.7070152538920476,-0.365331918353809,-0.7418839742698752,0.9074,,,,,,,42.2189,15.467602591792657,44.94886488869297,,,,,0.37655205591606616,-29.48126229690031,,,,0.0,,
207,10000,949,9051,0,0,0,579,310,269,6.7547495682210705,13.104089219330856,1.2451612903225806,,,,,,,,,,-0.7035145017159756,-0.3406714992503624,-0.7415586967596025,0.9051,,,,,,,41.77,15.228661749209694,44.55286708650978,,,,,0.4008871975092401,-29.324205337300086,,,,0.0,,
208,10000,931,9069,0,0,0,558,329,229,5.636200716845878,11.200873362445416,1.762917933130699,,,,,,,,,,-0.7047740003444898,-0.36472312518925015,-0.7396827405329921,0.9069,,,,,,,41.4503,15.457572502685284,44.118645936707466,,,,,0.37495961534374195,-28.66107343402218,,,,0.0,,
209,10000,969,9031,0,0,0,515,280,235,5.551456310679612,10.608510638297872,1.3071428571428572,,,,,,,,,,-0.7020403661711787,-0.3394369413976516,-0.7409466576788244,0.9031,,,,,,,41.0019,14.8328173374613,43.80976636031447,,,,,0.40150971628117277,-28.97694902285317,,,,0.0,,
210,10000,968,9032,0,0,0,569,342,227,5.54481546572935,11.82819383259912,1.3742690058479532,,,,,,,,,,-0.6969767160290198,-0.32576825525165576,-0.7367607937562661,0.9032,,,,,,,40.6195,15.010330578512397,43.364149689991144,,,,,0.41099253850461037,-28.35381911147875,,,,0.0,,
