,n_active,n_active_priv,n_active_upriv,n_waiting,n_waiting_priv,n_waiting_upriv,n_found_jobs,n_found_jobs_priv,n_found_jobs_upriv,Tu_found_jobs,Tu_found_jobs_upriv,Tu_found_jobs_priv,accuracy,recall,precision,accuracy_priv,recall_priv,precision_priv,accuracy_upriv,recall_upriv,precision_upriv,s_all,s_priv,s_upriv,frac_upriv,frac_pred_highpros_hist,frac_pred_lowpros_hist,frac_true_highpros_hist,frac_true_lowpros_hist,frac_highpros_pred,frac_highpros_true,mean_Tu_current,mean_Tu_priv_current,mean_Tu_upriv_current,frac_upriv_in_highpros,fraction_real_highpros_flipped_to_lowpros,fraction_real_lowpros_flipped_to_highpros,fraction_of_lowpros_correctly_highpros_after_flipping,BGSD,BGTuD_current,BGaccuracyD,BGprecisionD,BGrecallD,inbal_waiting,coef1,coef2
199,10000,749,9251,0,0,0,372,187,185,9.422043010752688,16.88108108108108,2.0427807486631018,,,,,,,,,,-0.7422632205166586,-0.4252761320585539,-0.7679278329104671,0.9251,,,,,,,46.7209,20.556742323097463,48.83926062047346,,,,,0.34265170085191315,-28.282518297375997,,,,0.0,,
200,10000,743,9257,0,0,0,390,213,177,9.648717948717948,17.870056497175142,2.816901408450704,,,,,,,,,,-0.7430435021701299,-0.4338628547293787,-0.7678594491344248,0.9257,,,,,,,46.9723,20.636608344549124,49.08609700766987,,,,,0.33399659440504614,-28.449488663120746,,,,0.0,,
201,10000,797,9203,0,0,0,401,216,185,8.600997506234414,15.135135135135135,3.0046296296296298,,,,,,,,,,-0.7290216032553972,-0.340846502391221,-0.7626384190099064,0.9203,,,,,,,45.8703,18.578419071518194,48.23383679235032,,,,,0.42179191661868537,-29.655417720832123,,,,0.0,,
202,10000,845,9155,0,0,0,451,270,181,7.177383592017739,15.535911602209945,1.5740740740740742,,,,,,,,,,-0.7199928462386957,-0.3085456635668787,-0.7579691290740518,0.9155,,,,,,,44.8956,17.046153846153846,47.46608410704533,,,,,0.4494234655071731,-30.419930260891487,,,,0.0,,
203,10000,832,9168,0,0,0,513,316,197,6.368421052631579,14.421319796954315,1.3481012658227849,,,,,,,,,,-0.716005547927755,-0.32166895517900573,-0.7517917657688282,0.9168,,,,,,,44.3157,17.314903846153847,46.76603403141361,,,,,0.4301228105898225,-29.451130185259764,,,,0.0,,
204,10000,899,9101,0,0,0,527,289,238,6.413662239089184,12.882352941176471,1.0865051903114187,,,,,,,,,,-0.7122830364142918,-0.3055276569588744,-0.7524624767099101,0.9101,,,,,,,43.5009,16.166852057842046,46.20096692671135,,,,,0.44693481975103566,-30.034114868869306,,,,0.0,,
205,10000,904,9096,0,0,0,520,327,193,6.584615384615384,14.922279792746114,1.6636085626911314,,,,,,,,,,-0.7090903764484227,-0.319659868882488,-0.7477936722751162,0.9096,,,,,,,42.7733,16.108407079646017,45.42337291116974,,,,,0.4281338033926282,-29.314965831523725,,,,0.0,,
206,10000,875,9125,0,0,0,520,318,202,6.2615384615384615,12.826732673267326,2.091194968553459,,,,,,,,,,-0.7098596463575313,-0.3573210233389042,-0.7436647197976736,0.9125,,,,,,,42.2746,16.321142857142856,44.763287671232874,,,,,0.38634369645876937,-28.442144814090017,,,,0.0,,
207,10000,885,9115,0,0,0,534,300,234,6.810861423220974,13.11965811965812,1.89,,,,,,,,,,-0.705210184875978,-0.31814580623128746,-0.7427913121497632,0.9115,,,,,,,41.8778,15.803389830508475,44.40943499725727,,,,,0.4246455059184758,-28.606045166748796,,,,0.0,,
208,10000,905,9095,0,0,0,555,320,235,5.036036036036036,9.859574468085107,1.49375,,,,,,,,,,-0.7041471194768758,-0.3164525738170001,-0.7427247515628776,0.9095,,,,,,,41.4318,15.103867403314917,44.051566794942275,,,,,0.42627217774587756,-28.94769939162736,,,,0.0,,
209,10000,930,9070,0,0,0,551,310,241,6.016333938294011,11.804979253112034,1.5161290322580645,,,,,,,,,,-0.7025417075713324,-0.3187426085649775,-0.7418948676679047,0.907,,,,,,,41.0251,14.723655913978495,43.72194046306505,,,,,0.4231522591029272,-28.998284549086556,,,,0.0,,
210,10000,896,9104,0,0,0,568,336,232,6.292253521126761,12.75,1.8333333333333333,,,,,,,,,,-0.7037800156516448,-0.34222113452329994,-0.7393640180122553,0.9104,,,,,,,40.7423,15.032366071428571,43.27262741652021,,,,,0.3971428834889553,-28.24026134509164,,,,0.0,,
211,10000,882,9118,0,0,0,546,308,238,5.558608058608058,10.516806722689076,1.7272727272727273,,,,,,,,,,-0.7014583754772867,-0.3492152224178333,-0.7355314683702938,0.9118,,,,,,,40.4146,15.219954648526077,42.851721868830886,,,,,0.3863162459524605,-27.63176722030481,,,,0.0,,
212,10000,930,9070,0,0,0,575,295,280,5.737391304347826,10.032142857142857,1.6610169491525424,,,,,,,,,,-0.7002885528871401,-0.3094976481223401,-0.7403586236072354,0.907,,,,,,,40.199,14.43010752688172,42.8412348401323,,,,,0.43086097548489527,-28.41112731325058,,,,0.0,,
213,10000,909,9091,0,0,0,571,334,237,6.108581436077058,13.029535864978904,1.1976047904191616,,,,,,,,,,-0.7011657672154477,-0.33188371640732356,-0.7380899102343217,0.9091,,,,,,,39.9144,14.97909790979098,42.407655923440764,,,,,0.40620619382699813,-27.428558013649784,,,,0.0,,
214,10000,896,9104,0,0,0,514,305,209,4.737354085603113,10.272727272727273,0.9442622950819672,,,,,,,,,,-0.7045752227498546,-0.347998030013758,-0.7396689359189608,0.9104,,,,,,,39.9226,15.436383928571429,42.33249121265378,,,,,0.39167090590520276,-26.896107284082348,,,,0.0,,
215,10000,904,9096,0,0,0,519,288,231,6.572254335260116,13.528138528138529,0.9930555555555556,,,,,,,,,,-0.7006448293919354,-0.3618729292268049,-0.7343134527152949,0.9096,,,,,,,39.5398,15.432522123893806,41.93568601583114,,,,,0.37244052348849,-26.503163891937334,,,,0.0,,
216,10000,929,9071,0,0,0,539,287,252,6.231910946196661,10.69047619047619,2.317073170731707,,,,,,,,,,-0.6978933945853028,-0.3468718989226159,-0.7338430108867728,0.9071,,,,,,,39.1501,14.856835306781486,41.638077389482966,,,,,0.38697111196415696,-26.781242082701482,,,,0.0,,
217,10000,932,9068,0,0,0,540,309,231,5.057407407407408,10.212121212121213,1.203883495145631,,,,,,,,,,-0.6947566286788449,-0.33647393008195686,-0.731580567264233,0.9068,,,,,,,38.8534,14.858369098712446,41.31958535509484,,,,,0.3951066371822762,-26.461216256382393,,,,0.0,,
218,10000,926,9074,0,0,0,547,321,226,4.213893967093236,8.783185840707965,0.9968847352024922,,,,,,,,,,-0.6949370429702755,-0.3414270926366093,-0.7310126671722785,0.9074,,,,,,,38.7804,15.159827213822894,41.19087502755124,,,,,0.3895855745356692,-26.03104781372835,,,,0.0,,
219,10000,938,9062,0,0,0,547,298,249,6.756855575868373,13.0,1.5402684563758389,,,,,,,,,,-0.6956695674804219,-0.35272920844416783,-0.7311670356746401,0.9062,,,,,,,38.4976,15.038379530916844,40.92584418450673,,,,,0.3784378272304723,-25.887464653589888,,,,0.0,,
220,10000,968,9032,0,0,0,558,301,257,6.969534050179211,13.256809338521402,1.601328903654485,,,,,,,,,,-0.6931874784754033,-0.33198463538175516,-0.731899209223261,0.9032,,,,,,,38.0328,14.106404958677686,40.597099202834364,,,,,0.39991457384150586,-26.49069424415668,,,,0.0,,
221,10000,975,9025,0,0,0,562,315,247,6.160142348754448,12.31578947368421,1.3333333333333333,,,,,,,,,,-0.6939978902421104,-0.3368694078412844,-0.7325796376482939,0.9025,,,,,,,37.7719,14.14051282051282,40.324875346260384,,,,,0.39571022980700954,-26.184362525747567,,,,0.0,,
222,10000,975,9025,0,0,0,539,315,224,5.641929499072356,12.236607142857142,0.9523809523809523,,,,,,,,,,-0.6954782180940812,-0.3411119155003562,-0.7337615582634864,0.9025,,,,,,,37.6463,14.50974358974359,40.14581717451524,,,,,0.39264964276313025,-25.636073584771648,,,,0.0,,
223,10000,982,9018,0,0,0,597,335,262,7.132328308207705,12.965648854961833,2.5701492537313433,,,,,,,,,,-0.6915020041780208,-0.3248796085153258,-0.7314247356640228,0.9018,,,,,,,37.3023,14.078411405295316,39.831226436016856,,,,,0.40654512714869695,-25.75281503072154,,,,0.0,,
