,x1,x2,x_prot,s_real,T_u,step
581130,-0.5322111955195121,-0.33060607857017577,1.0,-0.43140863704484395,100.0,799.0
581131,-0.6088605028771218,-0.8233223669545144,0.0,-0.7160914349158181,88.0,799.0
581132,-0.7081472756678955,-0.3269543813999203,1.0,-0.5175508285339079,77.0,799.0
581133,-0.2787684008388898,-1.4137621471423527,0.0,-0.8462652739906212,74.0,799.0
581134,-0.7395683717812381,-0.86522353478786,0.0,-0.802395953284549,61.0,799.0
581135,-0.5651977244820464,-1.0079818906387494,0.0,-0.7865898075603979,54.0,799.0
581136,-0.7527282314786687,-0.1827818972166727,1.0,-0.4677550643476707,52.0,799.0
581137,-0.8131908112136897,-0.9038943773690179,0.0,-0.8585425942913538,53.0,799.0
581138,-0.8045478050730979,-0.05785012419182278,1.0,-0.4311989646324603,46.0,799.0
581139,-0.3650932907512385,-1.1567180242172335,0.0,-0.760905657484236,44.0,799.0
581140,-0.692799095395321,-0.7258785040981086,0.0,-0.7093387997467149,42.0,799.0
581141,-0.30201428581428047,-0.9073616731463432,0.0,-0.6046879794803118,41.0,799.0
581142,-0.3038275303069828,-0.48131888200431805,1.0,-0.3925732061556504,40.0,799.0
581143,0.022703898790859527,-0.3581792160949877,1.0,-0.16773765865206408,39.0,799.0
581144,-0.5064923121228042,-1.0605456177851857,0.0,-0.783518964953995,38.0,799.0
581145,-0.8104864152632734,-0.34362133893925284,0.0,-0.5770538771012631,66.0,799.0
581146,0.005174932364500121,-1.4939088074146567,0.0,-0.7443669375250783,35.0,799.0
581147,-0.6595684531434844,-0.9126794352525078,0.0,-0.7861239441979961,34.0,799.0
581148,-0.5995914156512024,-0.6290422228470047,0.0,-0.6143168192491035,34.0,799.0
581149,-0.3008821495524889,-0.7486835893750229,0.0,-0.5247828694637559,31.0,799.0
581150,-0.6223918929557823,0.22011687065696334,1.0,-0.2011375111494095,28.0,799.0
581151,-0.4857966310206157,-0.32489973714719333,1.0,-0.4053481840839045,28.0,799.0
581152,-0.8189969177710545,-1.119749959666281,0.0,-0.9693734387186678,38.0,799.0
581153,-0.8303120682003512,-0.16682395165413544,1.0,-0.4985680099272433,43.0,799.0
581154,-0.8276859492747694,-1.1252795142810539,0.0,-0.9764827317779117,60.0,799.0
581155,-0.45188439433526373,-1.1185725911517208,0.0,-0.7852284927434923,24.0,799.0
581156,-0.5022533482916047,0.33225731627872856,1.0,-0.08499801600643808,24.0,799.0
581157,-0.46053346905155745,-0.6849834476099668,0.0,-0.5727584583307621,23.0,799.0
581158,-0.4654050604633037,-0.6092212027644816,0.0,-0.5373131316138926,22.0,799.0
581159,-0.8235187920189802,-0.42146429441018785,0.0,-0.622491543214584,63.0,799.0
581160,0.24824253853819733,-1.212641017712404,0.0,-0.48219923958710337,21.0,799.0
581161,-0.8111878306731253,-0.5573170825956675,0.0,-0.6842524566343964,21.0,799.0
581162,-0.8058197944563195,0.10432973389998923,1.0,-0.3507450302781651,20.0,799.0
581163,-0.8070890869747257,-0.38963971669961056,0.0,-0.5983644018371681,49.0,799.0
581164,-0.681827174840616,0.32699797841908457,1.0,-0.1774145982107657,18.0,799.0
581165,-0.1195565340127659,-0.10006051576996788,1.0,-0.10980852489136689,18.0,799.0
581166,-0.8091824635885309,-0.7001903273850162,0.0,-0.7546863954867735,29.0,799.0
581167,-0.19359959323739706,-0.8560880307883848,0.0,-0.5248438120128909,17.0,799.0
581168,-0.5925044688479723,0.24171282930058474,1.0,-0.17539581977369376,17.0,799.0
581169,-0.3948165693330157,-0.9501804602967281,0.0,-0.6724985148148719,16.0,799.0
581170,-0.0813858096691325,-0.9219560286330675,0.0,-0.5016709191511,16.0,799.0
581171,-0.3163177692462228,-0.43539461904548415,1.0,-0.3758561941458535,16.0,799.0
581172,-0.12492123169402344,-0.8084589603506369,0.0,-0.4666900960223302,16.0,799.0
581173,-0.5545699173033284,0.5790000786508325,1.0,0.012215080673752043,15.0,799.0
581174,-0.3905641643196447,-1.2484673014774752,0.0,-0.81951573289856,15.0,799.0
581175,0.009386337690500056,-0.278928045441974,1.0,-0.13477085387573698,15.0,799.0
581176,0.2020683382238735,-1.2565824568406945,0.0,-0.5272570593084105,15.0,799.0
581177,-0.8177443252098868,-0.5222304911252452,0.0,-0.6699874081675661,86.0,799.0
581178,-0.06923857584757342,-0.8711444950675089,0.0,-0.47019153545754117,14.0,799.0
581179,-0.3321311982672011,-1.0636508421865827,0.0,-0.6978910202268919,14.0,799.0
581180,-0.8314909053361758,0.8747460835622096,1.0,0.021627589113016932,79.0,799.0
581181,0.435578041399292,-1.4678560752010006,0.0,-0.5161390169008543,13.0,799.0
581182,-0.6184142827835122,0.14341952468432517,1.0,-0.2374973790495935,13.0,799.0
581183,-0.18883865614700965,-1.1313762787484938,0.0,-0.6601074674477517,13.0,799.0
581184,-0.813676337710048,-0.5576934085631934,0.0,-0.6856848731366207,78.0,799.0
581185,-0.6879372979064063,-0.04771343240115644,1.0,-0.3678253651537814,12.0,799.0
581186,-0.28262931240480627,-0.6771036054903503,0.0,-0.4798664589475783,12.0,799.0
581187,-0.35195159909223706,-0.47795697842476575,0.0,-0.4149542887585014,12.0,799.0
581188,-0.6426484716242555,-0.5198353355467147,0.0,-0.5812419035854851,12.0,799.0
581189,-0.8033583149151171,-1.0414808161665818,0.0,-0.9224195655408495,41.0,799.0
581190,-0.7782540483764223,-0.4503173022083909,0.0,-0.6142856752924066,11.0,799.0
581191,-0.8094408894469053,-0.3464632287523791,0.0,-0.5779520590996422,70.0,799.0
581192,-0.819364978195474,0.3189856820260244,1.0,-0.2501896480847248,40.0,799.0
581193,-0.009315378936520673,-1.2162445835077857,0.0,-0.6127799812221532,10.0,799.0
581194,-0.3744358950031861,-1.0416861721608386,0.0,-0.7080610335820123,10.0,799.0
581195,-0.076210685515158,-0.6030829402183593,0.0,-0.33964681286675863,10.0,799.0
581196,-0.691517238372024,0.46800414618570657,1.0,-0.11175654609315869,10.0,799.0
581197,-0.8047720101095203,-0.6110722112749801,0.0,-0.7079221106922502,87.0,799.0
581198,-0.8094088680860484,-0.5425022167998091,0.0,-0.6759555424429288,39.0,799.0
581199,-0.8130376919109997,0.6551512415314099,1.0,-0.07894322518979491,21.0,799.0
581200,-0.8268541888837265,0.35591437235611606,1.0,-0.23546990826380523,15.0,799.0
581201,-0.709511564787869,-0.7075045863217024,0.0,-0.7085080755547857,9.0,799.0
581202,-0.7307069710224804,0.925184301507442,1.0,0.09723866524248082,9.0,799.0
581203,-0.4614992895124427,-0.1705228300065429,1.0,-0.3160110597594928,9.0,799.0
581204,-0.42343859275703105,-0.7983135658267453,0.0,-0.6108760792918881,9.0,799.0
581205,-0.8069981320614684,0.5756737970585952,1.0,-0.1156621675014366,9.0,799.0
581206,0.0008668482182850768,-1.104379047237959,0.0,-0.5517560995098371,9.0,799.0
581207,-0.8210276831567954,-0.6746893299245503,0.0,-0.7478585065406729,86.0,799.0
581208,-0.8184566490508088,-0.7557887789543402,0.0,-0.7871227140025745,80.0,799.0
581209,-0.21729510677653024,-0.4945462536669447,1.0,-0.3559206802217375,8.0,799.0
581210,-0.5573682735206531,-0.523062540313036,0.0,-0.5402154069168446,8.0,799.0
581211,0.13222936108987052,-1.1386465555241876,0.0,-0.5032085972171585,8.0,799.0
581212,-0.5375272762518434,0.41698263006244995,1.0,-0.06027232309469671,8.0,799.0
581213,-0.29874167084621217,0.052069619965184444,1.0,-0.12333602544051386,8.0,799.0
581214,-0.37447618861512166,-0.19095297454403637,1.0,-0.282714581579579,8.0,799.0
581215,0.027062923683298996,-1.077017710735197,0.0,-0.524977393525949,8.0,799.0
581216,-0.8027314229498058,0.6491647078249233,1.0,-0.07678335756244126,33.0,799.0
581217,-0.8218066486515524,0.34047155478693136,1.0,-0.24066754693231052,49.0,799.0
581218,-0.8138537070159209,-0.6472782572307733,0.0,-0.730565982123347,25.0,799.0
581219,0.13655535571017466,-0.4821886233152345,1.0,-0.17281663380252993,7.0,799.0
581220,-0.5338687375147232,0.49121123448974824,1.0,-0.021328751512487476,7.0,799.0
581221,-0.06482968119171524,-0.33981341027675827,1.0,-0.20232154573423675,7.0,799.0
581222,-0.7383026764201697,0.0011908943598774036,0.0,-0.36855589103014613,7.0,799.0
581223,-0.8038711101270373,0.01485902777998449,0.0,-0.3945060411735264,96.0,799.0
581224,-0.8292576765735075,-0.15404448054260997,0.0,-0.49165107855805873,48.0,799.0
581225,-0.8224634929221384,-0.12201837394363223,0.0,-0.4722409334328853,30.0,799.0
581226,-0.09241552140763867,-0.8547942623476238,0.0,-0.4736048918776312,6.0,799.0
581227,-0.4985480350579843,-0.2767535441852594,0.0,-0.3876507896216218,6.0,799.0
581228,-0.5474159697449583,0.0604033882648784,1.0,-0.24350629074003996,6.0,799.0
581229,-0.5641619238322143,-0.4675850865949759,0.0,-0.5158735052135951,6.0,799.0
581230,-0.6253916558390955,-0.26755330353158024,0.0,-0.4464724796853379,6.0,799.0
581231,-0.8020732030138445,-0.5179966786102557,0.0,-0.66003494081205,92.0,799.0
