,x1,x2,x_prot,s_real,T_u,step
566064,-0.9782015434046935,-0.01592250314937249,1.0,-0.49706202327703297,98.0,799.0
566065,-0.4700327065477584,-0.9215430777827052,0.0,-0.6957878921652318,86.0,799.0
566066,-0.9396137102749096,-0.1581007112063617,1.0,-0.5488572107406356,81.0,799.0
566067,-0.8797770414995951,-0.12399244398271003,1.0,-0.5018847427411526,65.0,799.0
566068,-0.6532021588297147,-1.0584519375884724,0.0,-0.8558270482090935,68.0,799.0
566069,-0.29692603605115775,-0.8677821168830753,0.0,-0.5823540764671165,48.0,799.0
566070,-0.041225477135060334,-0.4921306918749847,1.0,-0.2666780845050225,43.0,799.0
566071,-0.7351322321620021,-0.09539974832476572,1.0,-0.4152659902433839,40.0,799.0
566072,-0.9700950223428365,0.4407671836772884,1.0,-0.26466391933277406,33.0,799.0
566073,-0.2310750556119705,-1.468028913171746,0.0,-0.8495519843918583,31.0,799.0
566074,-1.013150976671351,0.22831303760773242,1.0,-0.3924189695318092,93.0,799.0
566075,-0.38635816844217,-0.8045933437563266,0.0,-0.5954757560992483,26.0,799.0
566076,-0.12944305231850636,-1.1310865862247366,0.0,-0.6302648192716215,23.0,799.0
566077,-1.0138062849710174,0.274184950309242,1.0,-0.36981066733088774,27.0,799.0
566078,-0.011210686069711082,-1.297510361005598,0.0,-0.6543605235376545,21.0,799.0
566079,-0.2195407160851532,-0.7455669566988412,0.0,-0.4825538363919972,21.0,799.0
566080,0.12361408278780983,-1.0442044517537399,0.0,-0.460295184482965,21.0,799.0
566081,-1.0093569184132427,-0.049634078481847414,1.0,-0.5294954984475451,98.0,799.0
566082,-0.9964752673045512,0.0568629294030972,1.0,-0.46980616895072697,44.0,799.0
566083,-0.6420919500809827,-1.0047155744506686,0.0,-0.8234037622658257,26.0,799.0
566084,-0.06935965830658028,-1.4653145096695357,0.0,-0.767337083988058,20.0,799.0
566085,-0.6556686288513357,-0.750904347370345,0.0,-0.7032864881108403,61.0,799.0
566086,-0.30573225839106954,-0.8991233977613766,0.0,-0.6024278280762231,19.0,799.0
566087,-0.38631054597524106,0.32685818350617396,1.0,-0.02972618123453355,18.0,799.0
566088,-0.6506530529141733,0.161679668789663,1.0,-0.24448669206225515,18.0,799.0
566089,-0.6610673819516749,-0.6972866528337092,0.0,-0.6791770173926921,35.0,799.0
566090,-0.5032077926712819,-0.9125853963683019,0.0,-0.7078965945197919,17.0,799.0
566091,-0.6354684972135263,-0.43535274573750693,0.0,-0.5354106214755165,47.0,799.0
566092,-1.0112484521560938,-0.1739973052042158,1.0,-0.5926228786801548,46.0,799.0
566093,-0.6592098581140623,-0.6632123845773819,0.0,-0.6612111213457221,40.0,799.0
566094,-0.8821957069339673,0.07778775985267083,1.0,-0.40220397354064824,15.0,799.0
566095,-0.8094743180971499,0.09179084574772622,1.0,-0.3588417361747118,15.0,799.0
566096,-0.635148020323173,-1.3041856142094417,0.0,-0.9696668172663073,50.0,799.0
566097,-1.0182816366122778,0.2856332966509037,1.0,-0.36632416998068706,68.0,799.0
566098,-0.6565783677825068,-0.6223845068555098,0.0,-0.6394814373190083,20.0,799.0
566099,-0.7838594676441807,0.22703722626283718,1.0,-0.27841112069067175,14.0,799.0
566100,-0.7665054694112081,0.4401516775393879,1.0,-0.16317689593591012,14.0,799.0
566101,-0.9081323577856657,0.509969782987267,1.0,-0.19908128739919934,14.0,799.0
566102,-0.6534263432401366,-0.8424848896553727,0.0,-0.7479556164477547,85.0,799.0
566103,-0.4542426888656566,-0.7338127571528233,0.0,-0.59402772300924,13.0,799.0
566104,-0.73075861236858,-0.06296345637976031,1.0,-0.39686103437417014,13.0,799.0
566105,-0.2623670680439964,-0.7128999628756707,0.0,-0.4876335154598336,12.0,799.0
566106,-0.857027050245643,0.8361979525198348,1.0,-0.010414548862904105,12.0,799.0
566107,-0.5640829059993735,-0.9967634184458576,0.0,-0.7804231622226155,12.0,799.0
566108,-0.4204907707446126,-0.4502065325745669,0.0,-0.43534865165958975,12.0,799.0
566109,-1.0154405991140583,0.608508107957413,1.0,-0.20346624557832266,83.0,799.0
566110,-0.6373568267170545,-0.6888582257423426,0.0,-0.6631075262296986,29.0,799.0
566111,-0.6104736040657421,0.6072477656255915,1.0,-0.0016129192200753373,11.0,799.0
566112,-0.37644899991094344,-0.6722986318322021,0.0,-0.5243738158715727,11.0,799.0
566113,-0.4809159171942656,-0.38031663576641483,0.0,-0.4306162764803402,11.0,799.0
566114,-0.9982308534177788,0.7431711156546167,1.0,-0.12752986888158108,11.0,799.0
566115,-0.49304736098593493,-0.41434167953536627,1.0,-0.4536945202606506,11.0,799.0
566116,-0.16873609973800605,-1.1488795484863246,0.0,-0.6588078241121653,11.0,799.0
566117,-0.35376836590483574,-0.5042931394723243,0.0,-0.42903075268858004,10.0,799.0
566118,-0.5694435186805115,-0.740988733321036,0.0,-0.6552161260007737,10.0,799.0
566119,0.7053306224536587,-1.410359924540873,0.0,-0.3525146510436071,10.0,799.0
566120,-0.1464595984986935,-0.72763000684388,0.0,-0.43704480267128676,10.0,799.0
566121,-0.652850545551288,-0.7353924846405407,0.0,-0.6941215150959144,75.0,799.0
566122,-0.6533452928375885,0.8742019521422049,1.0,0.1104283296523082,9.0,799.0
566123,-0.9734559601662442,0.34813919254400655,1.0,-0.3126583838111189,9.0,799.0
566124,-0.9138598301690791,0.26539540013444557,1.0,-0.3242322150173168,9.0,799.0
566125,-0.5532945612138749,0.5710185342337425,1.0,0.008861986509933806,9.0,799.0
566126,-0.4773224629019026,-0.7048408290058498,0.0,-0.5910816459538761,9.0,799.0
566127,-0.226524173357383,-1.0198007283194188,0.0,-0.6231624508384009,9.0,799.0
566128,0.3645567385046794,-1.034890191892464,0.0,-0.3351667266938923,9.0,799.0
566129,-0.24330229633594636,-0.5555905908260679,0.0,-0.3994464435810071,9.0,799.0
566130,-1.0184167488407778,0.6225239493915129,1.0,-0.19794639972463246,44.0,799.0
566131,-0.6489023656678226,-0.6694224363398625,0.0,-0.6591624010038426,44.0,799.0
566132,-0.6491596028246387,-0.3470967196437039,0.0,-0.4981281612341713,20.0,799.0
566133,-0.5409662710868945,0.21146212528991176,1.0,-0.1647520728984914,8.0,799.0
