,x1,x2,x_prot,s_real,T_u,step
409393,-0.35222828352720065,-0.8740003000344911,0.0,-0.6131142917808459,89.0,799.0
409394,-0.3486424996034193,-0.5799935528533997,0.0,-0.4643180262284095,87.0,799.0
409395,-1.0629139240015337,-0.0866835618147963,0.0,-0.574798742908165,83.0,799.0
409396,-0.7743323655894165,-1.108830092414632,0.0,-0.9415812290020242,80.0,799.0
409397,-0.9162792472016472,-0.38308587072316164,0.0,-0.6496825589624045,79.0,799.0
409398,-1.178724555694491,0.15079888895505977,0.0,-0.5139628333697156,72.0,799.0
409399,-0.09983862816088303,-0.8671998781070536,0.0,-0.4835192531339683,72.0,799.0
409400,-1.1832917610489035,-0.3969872188547128,0.0,-0.7901394899518082,57.0,799.0
409401,-1.2988114851183612,0.3741523150200797,0.0,-0.4623295850491408,100.0,799.0
409402,-0.7661650279904096,-0.09437392972511499,0.0,-0.43026947885776234,52.0,799.0
409403,-0.3264726750141668,-0.3948409332163284,0.0,-0.3606568041152476,47.0,799.0
409404,-0.5357831842801228,-0.2563444494503389,0.0,-0.39606381686523084,46.0,799.0
409405,-0.42079785344078474,-0.021380350878168752,0.0,-0.22108910215947675,45.0,799.0
409406,-0.8798187215967956,-0.46521098206800504,0.0,-0.6725148518324003,44.0,799.0
409407,-0.8782512019139963,-0.030847807793499216,0.0,-0.4545495048537478,44.0,799.0
409408,-1.2890859815975861,-0.2201459932441954,0.0,-0.7546159874208908,91.0,799.0
409409,-0.38362957752939625,-0.7318547894734462,0.0,-0.5577421835014212,40.0,799.0
409410,-0.2924445656271231,-0.5795235804148225,0.0,-0.43598407302097286,40.0,799.0
409411,-0.9240750265868577,0.08300892488966594,0.0,-0.4205330508485959,37.0,799.0
409412,0.41452265521356935,-1.2079307240905646,0.0,-0.3967040344384976,36.0,799.0
409413,0.13575726933212348,-0.9141141686104666,0.0,-0.38917844963917153,34.0,799.0
409414,-0.49409659618808177,-0.6871014628035391,0.0,-0.5905990294958104,32.0,799.0
409415,-0.5617734348975099,-0.27859992074301965,0.0,-0.42018667782026475,32.0,799.0
409416,-0.9772662340844958,-0.13428105489756448,0.0,-0.5557736444910302,32.0,799.0
409417,-0.5803094405824663,-0.48806988320688294,0.0,-0.5341896618946747,31.0,799.0
409418,-0.48443641531791043,-0.13987395895048366,0.0,-0.31215518713419704,31.0,799.0
