,x1,x2,x_prot,s_real,T_u,step
576948,-0.48473680961239435,-1.0357491234525822,0.0,-0.7602429665324882,89.0,799.0
576949,-0.23913115647054858,-1.4441132426794785,0.0,-0.8416221995750135,88.0,799.0
576950,-0.6211197058157709,-0.68116259631451,0.0,-0.6511411510651405,84.0,799.0
576951,-0.48513635338687794,-0.9605702787328644,0.0,-0.7228533160598711,80.0,799.0
576952,-0.2881420113578935,-1.2993489205893536,0.0,-0.7937454659736236,80.0,799.0
576953,-0.23557133446073367,-1.413830609442288,0.0,-0.8247009719515109,75.0,799.0
576954,-0.6487592068958196,-1.296518713660289,0.0,-0.9726389602780543,64.0,799.0
576955,-0.6346561478793016,-0.739384077361608,0.0,-0.6870201126204548,87.0,799.0
576956,-0.5343292304867844,-1.0664679270385822,0.0,-0.8003985787626833,47.0,799.0
576957,-0.3852578319776521,-1.2222776666158834,0.0,-0.8037677492967678,44.0,799.0
576958,-0.9854477638660654,0.18395093431531248,1.0,-0.4007484147753764,60.0,799.0
576959,-0.6682157489759767,0.19137431629731083,1.0,-0.23842071633933293,36.0,799.0
576960,-0.9314857456432866,-0.05183671171598747,1.0,-0.491661228679637,36.0,799.0
576961,0.01974716003698577,-1.332052908685914,0.0,-0.6561528743244641,32.0,799.0
576962,-0.9333474716041478,0.005120627447120496,1.0,-0.46411342207851364,31.0,799.0
576963,0.19383473775348525,-1.3622912882426383,0.0,-0.5842282752445765,31.0,799.0
576964,-0.7958554976339914,0.48545349436985824,1.0,-0.1552010016320666,30.0,799.0
576965,-0.6389123112004278,-0.4166715826900199,0.0,-0.5277919469452239,33.0,799.0
576966,-0.4567094276223116,-0.9911457223149902,0.0,-0.7239275749686509,27.0,799.0
576967,-0.7886041774354124,-0.047400785682709334,1.0,-0.4180024815590609,27.0,799.0
576968,-0.9768663877955815,0.07118217500456651,1.0,-0.45284210639550754,92.0,799.0
576969,-0.13298827276812855,-1.063332803604167,0.0,-0.5981605381861478,26.0,799.0
576970,-0.17306398752038157,-0.36274617604978343,1.0,-0.2679050817850825,24.0,799.0
576971,-0.529139650963366,-0.556046444273058,0.0,-0.542593047618212,24.0,799.0
576972,-0.9742279800970477,0.508563514136315,1.0,-0.23283223298036637,47.0,799.0
576973,-0.9625141237778203,0.5806390693587281,1.0,-0.1909375272095461,46.0,799.0
576974,-0.8919249870939616,-0.3509203462503012,1.0,-0.6214226666721314,22.0,799.0
576975,0.029668286180700883,-1.078669771119261,0.0,-0.52450074246928,22.0,799.0
576976,-0.9611565945679564,0.2650121095098335,1.0,-0.34807224252906144,49.0,799.0
576977,-0.637456491242146,-0.4454159645575375,0.0,-0.5414362278998417,21.0,799.0
576978,-0.6122877852618583,-0.6108932396890828,0.0,-0.6115905124754706,20.0,799.0
576979,-0.4577171437834842,-0.4135850240365305,1.0,-0.4356510839100074,20.0,799.0
576980,-0.4438326612941647,0.007340025674885897,1.0,-0.2182463178096394,20.0,799.0
576981,-0.6259037460899156,-0.8904791810572412,0.0,-0.7581914635735785,92.0,799.0
576982,-0.6910805279245006,-0.21004487067689348,1.0,-0.45056269930069703,19.0,799.0
576983,-0.11623204468138544,-0.9649439617902291,0.0,-0.5405880032358072,19.0,799.0
576984,-0.748824219911641,0.09750634663587326,1.0,-0.3256589366378839,19.0,799.0
576985,-0.6501754724600306,-0.5269002379051789,0.0,-0.5885378551826048,84.0,799.0
576986,-0.4469568210957464,-0.8300984756259279,0.0,-0.6385276483608371,18.0,799.0
576987,-0.979246127841503,0.6495887191068814,1.0,-0.16482870436731079,35.0,799.0
576988,-0.4084591917299781,-0.1348829050983198,1.0,-0.2716710484141489,17.0,799.0
576989,-0.6178206669328979,-0.9454275034672701,0.0,-0.781624085200084,17.0,799.0
576990,-0.22734149635798187,-1.1224335894468571,0.0,-0.6748875429024195,15.0,799.0
576991,-0.1914600938595221,-0.9806754139732061,0.0,-0.5860677539163641,15.0,799.0
576992,-0.9591690127280799,0.28140955896908715,1.0,-0.33887972687949636,75.0,799.0
576993,-0.1495508359847744,-0.6537649166762045,0.0,-0.40165787633048944,14.0,799.0
576994,-0.8196709977428882,0.4100776370847921,1.0,-0.20479668032904805,14.0,799.0
576995,-0.9813896441161146,0.47648864683052994,1.0,-0.25245049864279234,61.0,799.0
576996,-0.6370788519707195,0.016247846848949164,0.0,-0.3104155025608851,25.0,799.0
576997,-0.9725706134997073,0.40824244704287166,1.0,-0.2821640832284178,84.0,799.0
576998,-0.9606716555760748,0.7230432272002479,1.0,-0.11881421418791344,24.0,799.0
576999,-0.32135670459026205,-1.1361383870118025,0.0,-0.7287475458010323,12.0,799.0
577000,-0.5665747862052828,-0.9905282052374491,0.0,-0.778551495721366,12.0,799.0
577001,-0.617250948233709,0.05127123165884129,1.0,-0.28298985828743384,12.0,799.0
577002,-0.9882386683599009,0.380067774292409,1.0,-0.30408544703374596,71.0,799.0
577003,-0.6328088369392575,0.3049799845564618,1.0,-0.16391442619139784,11.0,799.0
577004,-0.27058880173140926,-0.4116114309995663,1.0,-0.34110011636548776,11.0,799.0
577005,-0.9856700844900316,0.6136430797823292,1.0,-0.18601350235385117,94.0,799.0
577006,-0.050079814270104564,-0.9430579685851787,0.0,-0.4965688914276416,10.0,799.0
577007,-0.7098638101364021,0.27974773989452106,1.0,-0.21505803512094052,10.0,799.0
577008,-0.32053079143722746,0.18623508838519504,1.0,-0.06714785152601621,10.0,799.0
577009,-0.6481276770934452,0.1783393089748841,1.0,-0.23489418405928056,9.0,799.0
577010,-0.3749065723040628,-0.6252477211972451,0.0,-0.500077146750654,9.0,799.0
577011,-0.2689124176215642,-0.9122968345814865,0.0,-0.5906046261015253,9.0,799.0
